Operator,Year,Aboard,Fatalities
Bay Land Aviation,1989,5,5
AVIANCA,1989,107,107
Aspring Air,1989,10,10
Ariana Afghan Airlines,1989,39,6
Aloha Island Air,1989,20,20
Albancion Circulo,1989,10,10
Air Taxi - Paramount Aviation Corp.,1989,5,5
Air Taxi - Las Vegas Flyers Inc.,1989,10,10
Air Taxi - Centre Airlines Inc.,1989,5,2
Air Taxi,1989,3,3
Air Ontario,1989,69,24
Air Freight New Zealand,1989,3,3
Air Fiordland,1989,5,5
Air Express,1989,4,4
Aerotaca,1989,22,6
Aerosucre Colombia,1989,5,5
Aerolineas La Paz,1989,5,5
Aeroflot,1989,77,69
Aero Cozumel,1989,19,6
Aero Condor,1989,10,10
Aero Asahi,1989,,10
Wiggins Airways,1990,1,1
Wideroe's Flyveselksap,1990,5,5
TAN Honduras,1990,3,3
TAM (Brazil),1990,40,2
TABA,1990,42,23
SUDENE,1990,12,12
Sudania Air Cargo,1990,10,10
Sinquanon Management - Air Taxi,1990,3,2
Servicio Expresso Nacional,1990,9,9
SATENA,1990,16,16
SANSA,1990,23,23
Ptarmigan Airways,1990,2,2
Private - Omniflight Helicopters,1990,5,5
Philippine Air Lines,1990,119,8
Pelita Air Service,1990,28,19
Nuna Air,1990,8,8
Northwest Airlines/ Northwest Airlines,1990,198,8
MIAT - Mongolian Airlines,1990,30,30
MATS - Manila Aero Transport System,1990,24,7
MarkAir Commuter,1990,1,1
MAP - Ministerstvo Aviatsionnoi Promyshlennosti,1990,10,9
Iraqi Airways,1990,130,130
Indian Airlines,1990,146,92
HiTech Helicopters,1990,4,4
Helicsa,1990,13,11
Helicopteros Nacionales de Colombia,1990,15,15
Frontier Flying Service,1990,10,3
Frontier Air,1990,4,1
Federal Express,1990,2,2
Faucett,1990,18,18
Eitos,1990,13,13
Eastern Air Lines,1990,97,1
Eagle Air,1990,2,2
Douglas Airways,1990,12,8
Cubana de Aviacion,1990,77,15
China Southwest Airlines / Xiamen Airlines,1990,226,128
British Airways,1990,85,0
Bangkok Airways,1990,38,38
BAFIN,1990,4,4
Avicsa,1990,40,20
AVIANCA,1990,158,73
Alitalia,1990,46,46
Airfast Services,1990,19,19
Airborne Express,1990,2,2
Air Taxi - Transamerica,1990,4,2
Air Taxi - Trail Lake Flying Service Inc.,1990,5,5
Air Taxi - Aero West Aviation Inc.,1990,5,5
Air North Queensland,1990,11,11
Aeroperlas,1990,22,20
Aerolift Philippines,1990,21,21
Aeroflot,1990,273,104
Aeroflite Services,1990,2,2
Aerial Transit Company,1990,3,3
Vanair,1991,9,9
Uzbek Civil Aviation Administration,1991,63,34
USAir / Skywest Airlilnes,1991,99,34
United Air Lines,1991,25,25
TropiAir - Air Taxi,1991,8,8
Transports Aériens de la Guinee-Bissau,1991,3,3
Transafrik,1991,9,9
Temsco Airlines,1991,4,4
Tartarstan Airlines,1991,41,41
Tarom,1991,9,9
STASA,1991,3,1
Solomon Islands Airlines,1991,15,15
Scandinavian Airlines (SAS),1991,129,0
Ryan International Airlines,1991,2,2
Private,1991,5,5
Okada Air,1991,53,4
Nordeste Linhas Aereas,1991,15,15
Nile Safaris Aviation,1991,8,8
Nationair (chartered by Nigeria Airways),1991,261,261
Metro Cargo,1991,10,4
Merpati Nusantara Airlines,1991,34,14
Macon Horizons - Air Taxi,1991,4,4
Luft-Taxi Emsland,1991,7,6
Lockheed AC-130H Hercules,1991,13,13
Lineas Aéreas Colombianas,1991,7,7
Linea Aeropostal Venezolana,1991,45,45
Lauda Air,1991,223,223
Las Vegas Airlines,1991,5,5
LAN,1991,72,20
L'Express Airlines,1991,15,13
Jetstream Inc.,1991,3,3
Indian Airlines,1991,69,69
Helicol Colombia,1991,3,3
Fuerza Area Angolaise,1991,47,47
Ethiopian Airlines,1991,4,4
EDELCA,1991,12,12
Eagle Aviation,1991,5,5
Duncan Aircraft Sales,1991,10,10
Dirgantara Air Services,1991,10,3
Deraya Air Taxi,1991,9,1
Corporate Mobility Inc. - Private,1991,3,3
CORAL Colombia,1991,10,1
Continental Express,1991,14,14
Conesul Taxi Aéreo,1991,7,7
ClassiWings,1991,30,27
China Airlines (Taiwan),1991,5,5
Central Mountain Air Services,1991,7,6
Carib Air Transport,1991,7,7
Canair Cargo,1991,2,2
Bruno Air,1991,9,9
Broward Aviation Services - Air Taxi,1991,5,5
Belair - Air Taxi,1991,5,5
Baron Aviation,1991,1,1
Bali International Air Service,1991,17,17
Azerbaijani Airlines,1991,20,20
Avalki Air,1991,10,6
AtlantiSoutheast Airlines,1991,23,23
Airtech Rajawaldi Udara,1991,20,14
Air Taxi -Wilderness Aviation Inc.,1991,5,5
Air Taxi - Richmor Aviation,1991,3,3
Air Taxi - Haines Airways Inc.,1991,6,6
Air Taxi - Bohemia Inc.,1991,3,3
Air Taxi - Airis Helicopters Inc.,1991,3,3
Air Taxi - Air Grand Canyon Inc.,1991,7,7
Air Tahiti,1991,22,11
Agape Flight Inc.,1991,3,2
Aerosucre Colombia,1991,18,2
Aeroflot,1991,301,118
Aerochasqui,1991,15,15
ADES Colombia,1991,14,13
Yakutavia,1992,10,10
Wuhan Airlines,1992,35,14
Volga-Dnepr Airlines,1992,8,8
Vietnam Airlines,1992,31,30
VASP,1992,3,3
USAir,1992,51,27
Trans World Airlines,1992,292,0
Thai Airways,1992,113,113
Talair,1992,15,11
Taiwan Airlines,1992,10,7
Syktyvkar Avia,1992,16,15
Servicios Aereos Santa Ana,1992,10,10
Scibe Airlift Cargo Zaire,1992,37,37
SceniAir Tours,1992,9,9
Saha Airline Services,1992,39,39
Professional Aviation Services,1992,17,3
Perris Valley Aviation,1992,22,16
Pakistan International Airlines,1992,167,167
Nordeste Linhas Aéreas,1992,12,12
NewCal Aviation,1992,3,3
Miltiary - U.S. Airforce,1992,6,6
Merpati Nusantara Airlines,1992,31,31
Martinair Holland NV,1992,340,56
Mandala Airlines,1992,70,70
Lone Star Airlines,1992,3,3
Lina Congo,1992,8,3
Krasnoyarskavia,1992,12,10
Kiev Production Association,1992,13,1
Kamchatavia,1992,26,11
Jet Charter Group,1992,2,2
GP Express Airlines,1992,6,3
Golden Star Air Cargo,1992,7,7
Georgian Air,1992,24,24
Gambcrest,1992,56,30
Frigorifico Santa Rita,1992,5,5
Expresso Aéreo,1992,43,1
EXA Inc.,1992,12,12
El Al,1992,4,4
Crasa - Air Taxi,1992,6,6
COPA (Panama),1992,47,47
Commutair,1992,4,2
China Southern Airlines,1992,141,141
China General Aviation Corporation,1992,126,108
CC Air,1992,2,2
Caribbean Air Carrier - Air Taxi,1992,4,4
Avesca Colombia,1992,11,11
ATI,1992,4,3
ArctiCircle Air Service,1992,1,1
American Eagle,1992,5,5
Air Taxi - Wilderness Aviation Inc.,1992,3,3
Air Taxi - Western Helicopter Inc.,1992,4,4
Air Taxi - Hawaii Helicopters Inc.,1992,7,7
Air Taxi - Basco Flying Service Inc.,1992,4,4
Air Taxi - Baker Aviation Inc.,1992,3,3
Air Taxi - Alpine Aviation,1992,3,3
Air Taxi - Air Vegas Inc.,1992,5,2
Air taxi,1992,6,6
Air Rainbow,1992,9,7
Air Inter,1992,96,87
Air Bissau,1992,13,3
Aerolineas Argentinas,1992,,1
Aeroflot,1992,108,107
Aerocaribbean - Charter,1992,34,34
Aero Sudpacifico,1992,9,9
Aero Eslava,1992,4,4
Aero Ejecutivos,1992,3,3
Adventure Airlines,1992,10,10
Wideroe's Flyveselksap,1993,20,7
West Aviation,1993,10,3
Transair Georgia Airlines,1993,189,134
Trans Service Airlift,1993,21,3
Titan Airways,1993,2,2
Tajikistan Airlines,1993,126,122
Southwest Air,1993,11,9
Sasco Air Lines,1993,11,11
SAM Colombia,1993,132,132
Sakha Airlines,1993,24,24
Roadrunner Airlines,1993,5,5
Private,1993,14,13
Pan Malaysian Air Transport,1993,16,16
Palair Macedonian,1993,97,83
Oeste Linhas Aereas,1993,6,6
MIAT - Mongolian Airlines,1993,40,40
Merpati Nusantara Airlines,1993,43,41
Merpati Nasantara Airlines,1993,3,1
Magistralnye Avialinii,1993,17,17
Lufthansa Cityline,1993,23,4
Lufthansa,1993,70,2
Linea Aeropostal Venezolana,1993,11,11
Lao Aviation,1993,18,18
Kuban Airlines,1993,36,36
Japan Air Lines,1993,5,0
Indian Airlines,1993,118,56
Hyannis Air Service - Air Taxi,1993,3,3
Hornbill Airways,1993,17,1
Hibiscus Air,1993,9,9
GP Express Airlines,1993,2,2
Formosa Airlines,1993,6,6
Fiji Air,1993,2,2
Express Airlines - Northwest Airlink,1993,18,18
Everest Air,1993,19,19
China Northwest Airlines,1993,113,55
China Northern Airlines,1993,102,12
China Eastern Airlines,1993,344,4
Central Mountain Air Services,1993,2,2
Cargo Three Panama,1993,2,2
Carga del Caribe,1993,5,3
Bouraq Indonesia Airlines,1993,44,17
Aviaimpex (Macedonia),1993,116,116
Asiana Airlines,1993,110,68
ArctiWings & Rotors,1993,7,7
American International Airways,1993,3,0
Air Taxi - South Coast Helicopters Inc.,1993,4,4
Air Taxi - Sea PacifiInc.,1993,4,3
Air Taxi - Martin Aviation LP,1993,5,5
Air Taxi - Guinn Flying Service,1993,4,4
Air Taxi - Air Medical Leasing,1993,4,4
Air Senegal / Gambia Airways,1993,3,3
Air Manitoba,1993,7,7
Aerovias de Guatemala SA,1993,13,13
Aerotaca,1993,2,2
Yakutavia,1994,19,7
USAir,1994,189,169
Turkish Airlines (THY),1994,76,57
Trigana Air Service,1994,4,4
Transportes Aereos Pegaso,1994,14,14
Transoriente Colombia,1994,29,7
Trans World Airlines / Private,1994,142,2
TAME,1994,17,17
TAM Paraguay,1994,27,1
TAESA,1994,12,12
Southwest Air,1994,7,7
SL Aviation Services,1994,2,2
Servivensa,1994,9,7
SELVA,1994,10,10
Seaview Aviation,1994,9,9
Scibe Airlift Cargo Zaire,1994,2,2
Sankuru Air Service,1994,9,5
Salair,1994,2,2
Sahara,1994,4,4
SA Amazonica,1994,30,6
Rwanda Government,1994,12,12
Royal Air Maroc,1994,44,44
Rico Taxi Aero,1994,16,8
Radeair,1994,9,8
Phoenix Aviation,1994,5,5
Philippine Air Lines,1994,293,1
PacifiCoastal Airlines,1994,4,3
Orion - Air Taxi,1994,4,4
Oriental Airlines,1994,39,5
North Western Air Transport,1994,13,13
Missionary Aviation Fellowship,1994,28,28
Merpati Nusantara Airlines,1994,12,12
Lineas Aereas de los Libertadores,1994,9,8
Korean Airlines,1994,160,0
KLM Cityhopper,1994,24,3
Kimura International,1994,10,10
Jetcraft,1994,1,1
Iran Asseman Airlines,1994,66,66
Heavylift Cargo Airlines,1994,12,6
Expresso Aéreo,1994,31,31
Dirgantara Air Services,1994,11,11
Continental Airlines,1994,116,0
China Northwest Airlines,1994,160,160
China Airlines (Taiwan),1994,271,264
Cheremshanka Airlines,1994,28,28
Chalk's International Airlines,1994,2,2
British World Airways,1994,2,1
Baikal Air,1994,124,124
Aurukun Air Services,1994,6,6
AtlantiCoast Airlines (United Express),1994,8,5
Arsenyev Aviation Production Association,1994,20,8
Arall,1994,11,4
Ameriflight,1994,1,1
American Eagle,1994,88,83
Alas Chiricanas,1994,21,21
Airfast Services,1994,18,18
Airbus Industrie,1994,7,7
Air Taxi - Uyak Air Services Inc.,1994,7,6
Air Taxi - Talon Air Services Inc.,1994,3,3
Air Taxi - Sun Western Flyers Inc.,1994,10,9
Air Taxi - Ryan Air Service,1994,5,5
Air Taxi - Peninsula Airways,1994,3,3
Air Taxi - Papillion Helicopters Ltd.,1994,7,3
Air Taxi - National Helicopters,1994,3,3
Air Taxi - Lake Clark Air Inc.,1994,4,3
Air Taxi - El Aero Services Inc.,1994,5,5
Air Mauritanie,1994,93,80
Air Martinique,1994,6,6
Air Ivorie,1994,17,17
Air France,1994,239,3
Aeronica,1994,23,23
Aerolineas Cuahonte,1994,9,9
Aeroflot Russian International Airways,1994,75,75
Aerocontroctors - Charter,1994,5,3
Action Airlines,1994,9,8
Western Straits Air,1995,10,8
West Air,1995,1,1
Volga Air,1995,12,12
ValuJet,1995,62,0
Union Flights,1995,1,1
Transporturile Aeriene Romane (TAROM),1995,60,60
Transniugini Airways,1995,2,2
Transasia Airways,1995,4,4
Trans Service Airlift,1995,144,141
Tamair,1995,3,2
TACSA,1995,11,9
Senegalair,1995,10,6
Salair,1995,2,2
SAETA,1995,22,21
Sabang Merauke Raya Air Charter,1995,14,1
Sabah Air,1995,10,10
Royal Nepal Airlines,1995,24,2
Romanian Banat Air,1995,49,49
North Star Air Cargo,1995,1,1
Norilsk Flight Company,1995,15,15
Nigeria Airways,1995,137,9
Milne Bay Air,1995,15,15
MIAT - Mongolian Airlines,1995,43,42
Merpati Nusantara Airlines,1995,32,15
Malaysia Airlines,1995,53,34
Leadair - Charter,1995,10,10
Las Vegas Airlines,1995,10,8
LACOL,1995,11,2
Knight Air,1995,12,12
Kiwi West Aviation,1995,6,6
Kirghizia Aba Zaoldoru,1995,15,15
Islands Nationair,1995,13,13
Island Airways,1995,12,2
Intercontinental de Aviacion,1995,52,51
IAI 1124 Westwind,1995,3,3
Harka Air Services,1995,80,16
Garamut Aviation,1995,3,3
Far East Aviation,1995,98,98
Empire Airlines,1995,1,1
Canada Jet Charters,1995,5,5
Cameroon Airlines,1995,78,72
Bristow Helicopters,1995,9,1
Bourag Indonesia Airlines,1995,10,10
Bimini Air Charter Inc.,1995,9,5
Bearskin Airlines / Air Sandy,1995,8,8
Azerbaijani Airlines,1995,82,54
Azerbaijan Airlines,1995,6,2
Aviateca,1995,65,65
AtlantiSoutheast Airlines,1995,29,10
ATI,1995,3,3
Ariana Afghan Airlines,1995,51,3
Ansett New Zealand,1995,21,5
American Jet,1995,7,7
American Airlines,1995,164,160
AIRES Colombia,1995,10,10
Air Taxi - Wolfe Air Aviation Ltd.,1995,4,2
Air Taxi - Lab Flying Service Inc.,1995,6,6
Air Taxi - Island Air Service,1995,4,4
Air Taxi - Durango Air Service,1995,3,3
Air Taxi - Coastal Airways Inc.,1995,4,3
Air St. Martin,1995,20,20
Aeroflot,1995,24,22
Aero Air,1995,3,3
Adventure Airlines,1995,8,8
ADES Colombia,1995,9,9
Abakan Airlines,1995,19,3
Vnokovo Airlines,1996,141,141
ValuJet,1996,110,110
United Express  / Private,1996,14,14
Tyumen Aviatrans,1996,34,5
Transported Areos Profesionales - TAPSA,1996,16,16
Trans World Airlines,1996,230,230
Telford Aviation,1996,8,8
TAM (Brazil),1996,95,95
Spair Air Transport,1996,12,12
Soundsair,1996,6,5
SELVA,1996,4,4
Savanair,1996,19,6
Saudi Arabian Airlines / Kazastan Airlines,1996,349,349
Private Wings,1996,10,10
Private,1996,3,3
Northern Air Cargo,1996,4,4
Myanmar Airways,1996,49,8
Mustique Airways,1996,10,1
Milne Bay Air,1996,30,21
Million Air,1996,4,4
Malu Aviation,1996,21,6
Madrid Taxi Aéreo - Charter,1996,9,9
Loganair,1996,3,3
Lineas Aereas del Caribe,1996,4,4
Krasnoyarskie Avialinii,1996,20,20
Komi Avia,1996,15,14
Kismayo Airlines,1996,8,8
Key West Sea Plane Service - Air Taxi,1996,5,5
Jetcom S.A.,1996,8,8
Iran Air,1996,7,7
Hoseba,1996,10,10
Helisul Taxi Aéreo,1996,2,2
Hati Express,1996,15,11
Harbour Air,1996,3,3
Garuda Indonesia Airlines,1996,275,3
Formosa Airlines,1996,17,6
First Air,1996,2,2
Federal Airlines,1996,53,53
Ethiopian Airlines,1996,175,127
Emery Worldwide,1996,2,2
Dutch Dakota Association,1996,32,32
Dirgantara Air Services,1996,17,16
Delta Air Lines,1996,142,2
Compania de Aviacion Faucett SA (Peru),1996,123,123
China Flying Dragon Aviation (Feilong Airlines),1996,12,2
Business Air Connection,1996,4,4
Buffalo Narrows Airways,1996,2,2
Aviation Development Corporation,1996,143,143
Avia Air Aruba,1996,8,8
AVCOM,1996,2,2
ArctiTransportation Services,1996,1,1
Archana Airlines,1996,9,9
"Alas Nacionales, leased from Birgen Air",1996,189,189
Akhal Air,1996,12,12
Aircraft Charter Group Inc,1996,2,2
Airborne Express,1996,6,6
Air Taxi - Stearns Air Alaska,1996,5,3
Air Taxi - Seaside Air Service,1996,3,3
Air North,1996,3,1
African Air,1996,6,2
Aérotaxi Cachanilla,1996,8,8
Aeroservicios Empresariales de Durango,1996,19,16
Aeroperu,1996,70,70
Aerolatino (Aerocaribe),1996,18,1
Aeroflot,1996,23,2
Aero Tropical,1996,8,8
ACES Colombia,1996,15,14
Vietnam Airlines,1997,66,65
Varig,1997,52,1
United Air Lines,1997,393,1
Transpolar,1997,5,5
TMK Air Commuter,1997,22,22
Terry Air Inc.,1997,3,3
Tar Heel Aviation,1997,2,2
TAM (Brazil),1997,60,1
Tajikistan Airlines,1997,86,85
TAAG Angola Airlines,1997,7,3
Stavropol Airlines,1997,50,50
STAP,1997,19,10
Sowind Air,1997,17,4
Southcentral Air,1997,2,1
Skypower Express Airways,1997,16,5
Singapore Airlines,1997,2,2
SilkAir,1997,104,104
Sempati Air,1997,50,30
SceniAirlines,1997,9,9
SATENA,1997,12,12
Renan Airways,1997,5,5
Private,1997,3,3
Polynesian Airlines,1997,5,3
Parsa,1997,10,10
Naysa Aerotaxis,1997,9,8
MIAT - Mongolian Airlines,1997,12,7
Merpati Nusantara Airlines,1997,53,15
Korean Airlines,1997,254,229
Haines Airways - Air Taxi,1997,6,4
Hageland Aviation Services,1997,13,13
Goroka Air Services,1997,4,2
Garuda Indonesia Airlines,1997,234,234
Formosa Airlines,1997,16,16
Force Area Populaire de Angola,1997,37,37
Fine Air,1997,4,4
Elbee Airlines,1997,2,2
Custom Air Service,1997,2,2
Cubana de Aviacion,1997,44,44
Comair,1997,29,29
China Southern Airlines,1997,74,35
Borneo Airways,1997,10,10
Bazair,1997,27,27
Azerbaijan Airlines,1997,6,6
Austral Lineas Aeras (Argentina),1997,74,74
Ariana Afghan Airlines,1997,26,2
ALADA,1997,16,16
Air taxi - TAM,1997,2,2
Air Taxi,1997,5,4
Air taxi,1997,5,5
Air Senegal,1997,52,25
Air Pereira,1997,4,4
Air Littoral,1997,17,1
Air Georgian,1997,1,1
Aerosweet Airlines (LVOV),1997,70,70
ADC Airlines,1997,55,1
,1997,6,3
Zanex,1998,10,1
Yates Aviation,1998,1,1
Vincent Aviation,1998,10,5
Ukraine Aviation Transport Company,1998,10,10
Transafrik,1998,14,14
Thai Airways,1998,146,102
TanaMana Aviation,1998,11,4
Swissair,1998,229,229
Swifair,1998,2,2
Speed Service Couriers,1998,2,1
Servivensa,1998,27,1
Selva Taxi Aero,1998,24,5
SELVA,1998,5,5
Sakha Airlines,1998,13,13
Rusts Flying Service Inc.,1998,5,5
Regency Express Air,1998,2,2
Proteus Air / Private,1998,15,15
Propair,1998,11,11
Private,1998,1,1
Plane Sailing,1998,18,4
Philippine Air Lines,1998,127,0
Permaviatrans,1998,24,24
Paukn Air,1998,38,38
Paradise Air,1998,9,9
Myanmar Airways,1998,89,60
Mountain Air Cargo,1998,1,1
MIAT - Mongolian Airlines,1998,28,28
Lumbini Airways,1998,18,18
Living Water Teaching Ministries Charter,1998,18,11
Lionair,1998,55,55
Linea Aérea Mexicana de Carga,1998,4,2
Khors Aircompany,1998,11,11
Harbour Air Seaplanes Ltd.,1998,5,5
Fuerza Aérea del Peru,1998,143,97
Formosa Airlines,1998,13,13
Cubana de Aviacion,1998,91,70
Corporate Air,1998,1,1
Congo Airline,1998,41,41
China Airlines (Taiwan),1998,196,196
Cebu PacifiAir,1998,104,104
Capital Taxi Aereo,1998,3,3
Cabo Verde Airlines,1998,22,1
Baron Aviation,1998,1,1
ATI Aircompany,1998,8,8
Ariana Afghan Airlines,1998,96,96
Ararat Avia,1998,37,0
Alliance Airlines,1998,6,6
Alas del Sur,1998,3,3
Alada,1998,13,1
Air Taxi - US Helicopters Inc.,1998,5,5
Air Taxi - Ohana Helicopter Tours,1998,6,6
Air taxi - Air Safaris Inc.,1998,3,3
Air Satellite,1998,10,7
Air Memphis,1998,6,6
Air Luxor,1998,7,7
Air France,1998,53,53
Air Anguilla,1998,11,11
Aeroservice International,1998,2,2
,1998,6,4
Vanair,1999,12,7
Uzu Air,1999,4,3
Uzbekistan Airways,1999,33,2
Uni Air,1999,96,1
Turkish Airlines (THY),1999,6,6
Transafrik - United Nations Charter,1999,9,9
Tashkent Aircraft Production Corporation,1999,7,5
TAESA,1999,18,18
TACV-Cabo Verde Airlines,1999,18,18
Skyline Airways,1999,10,10
Si Fly - U.N. charter,1999,24,24
Savannair,1999,14,14
Savanair,1999,5,1
SATA,1999,35,35
Regionnair,1999,4,1
Provincial Airlines,1999,2,1
Private charter,1999,6,6
Private,1999,13,13
PacifiAirways,1999,1,1
Northern Air (Tanzania),1999,12,12
Norte Jet Táxi Aéreo,1999,2,2
Nightexpress,1999,2,2
Necon Air,1999,27,19
Myanmar Airways,1999,8,8
Minerva Airlines,1999,31,4
Manacá Táxi Aéreo,1999,5,5
Malindi Air Services,1999,2,2
Lufthansa Cargo Airlines,1999,5,5
"LAPA, Lineas Aereas Privadas Argentinas",1999,103,64
LANC Colombia,1999,18,5
La Costena,1999,16,16
Korean Air,1999,7,7
Kelowna Flightcraft Air Charter,1999,2,2
Indian Airlines,1999,189,1
Greek Government,1999,13,7
Fuerza Aérea Nicaragua,1999,28,28
EgyptAir,1999,217,217
Edinburgh Air Charter,1999,11,8
Ecuato Guineana de Aviacion,1999,6,6
DHL Aviation Africa,1999,4,4
Cubana de Aviacon,1999,314,16
Cubana de Aviacion,1999,22,22
College of the Ozarks,1999,6,6
China Southwest Airlines,1999,61,61
China Airlines (Taiwan),1999,315,3
Charter - Twin Air HB,1999,8,8
Charter - Flightline Charter Services,1999,9,9
Channel Express,1999,2,2
Blue Water Aviation Services,1999,2,1
Big Island Airlines,1999,10,10
Avioriprese Jet Executive,1999,3,3
Asian Spirit,1999,17,17
Aramco Associated Company,1999,20,12
Ameriflight,1999,1,1
American Airlines,1999,145,11
All Nippon Airways,1999,517,1
ALIANSA Colombia,1999,8,8
Airlink,1999,28,28
Air Taxi - Stanley Air Taxi,1999,4,4
Air Taxi - New England Airlines,1999,5,3
Air Taxi - Grant Aviation Inc.,1999,6,6
Air Taxi - Coastal Helicopters Inc.,1999,7,7
Air Karibu,1999,7,7
Air Fiji,1999,17,17
Aerotaca,1999,5,5
Aero Jet Express,1999,4,4
Wuhan Airlines,2000,44,44
Win Win Aviation,2000,3,1
Whyalla Airlines,2000,8,8
Vologodskiye Airlines,2000,9,9
Uralex,2000,33,3
Universal Jet Aviation,2000,3,3
Trans Guyana Airways,2000,1,1
Top Air - Air Taxi,2000,4,4
Taxval,2000,1,1
TACA,2000,20,5
Superior Aviation,2000,1,1
Summit Air Charters,2000,3,3
Streamline,2000,2,1
Staer Air,2000,27,27
Southwest Airlines,2000,142,0
Skypower Express Airways,2000,16,1
Sky Cabs,2000,8,6
Singapore Airlines,2000,179,83
Servicio Aereo Manchupo,2000,6,6
SANSA,2000,10,10
Royal Nepal Airlines,2000,25,25
RCMP-GRC Air Services,2000,2,2
Private,2000,3,3
Price Aircraft Company,2000,6,6
Points North Air Services,2000,2,2
Philippine Air Lines,2000,298,1
Patuxent Airways / Private,2000,11,11
Northern Executive Aviation,2000,5,2
North Coast Aviation,2000,4,4
Mayoral Executive Jet,2000,2,1
Malu Aviation,2000,11,2
Lao Aviation,2000,17,8
Kivu Air Services,2000,2,2
Kenya Airways,2000,179,169
Indian Airlines/Alliance Airlines,2000,58,55
Gulf Air,2000,143,143
Ghana Airlink,2000,52,7
Executive Airlines,2000,19,19
Empire Airlines,2000,1,1
Emery Worldwide,2000,3,3
Crossair,2000,10,10
CORAL Colombia,2000,19,13
Charter - Central Air,2000,8,8
Cape Smythe Air Service,2000,10,5
Bombardier Aerospace,2000,3,2
Blue Hawaiian Helicopters,2000,7,7
Big Island Airlines,2000,9,1
Bankair,2000,3,3
Avisto,2000,41,22
Avirex,2000,10,3
Asa Pesada,2000,57,57
ANT Air Taxi,2000,5,5
American Airlines,2000,114,1
Allied Air Freight,2000,2,2
Alaska Airlines,2000,88,88
Airwave Transport,2000,2,2
Air taxi - Lider Air Taxi,2000,6,6
Air taxi - Jao Air Taxi,2000,4,4
"Air Taxi - Iliamna, Air Taxi Inc.",2000,6,6
Air Taxi,2000,3,3
Air Philippines,2000,131,131
Air France,2000,109,109
Aeroperlas,2000,10,10
Aeromexico,2000,88,0
Aerocaribe,2000,19,19
Aca-Ancargo,2000,44,44
Vnukovo Airlines,2001,174,3
Vladivostokavia,2001,145,145
Victoria Airlines,2001,11,4
Universal Jet Aviation,2001,2,2
United Air Lines,2001,109,109
Thai Airways,2001,5,1
TAM (Brazil),2001,82,1
Sociedade de Aviacao Ligeira Charter,2001,17,16
Skydive Salt Lake - Charter,2001,9,9
Sibir Airlines,2001,78,78
SFC Vietnam - Charter - Full Account,2001,16,16
Scandinavian Airlines (SAS) / Private,2001,114,114
SANSA,2001,8,3
Rutaca Airlines,2001,24,24
Russ Air Transport Company,2001,10,10
Private - Techint  group,2001,10,10
Private - OverteCompany,2001,13,13
Private  - Daewoo Shipbuilding,2001,12,8
Perimeter Airlines,2001,3,2
PenAir,2001,10,10
Papillon Grand Canyon Helicopters of Las Vegas,2001,7,6
Northern Illinois Flight Center,2001,6,2
North Bay Charter,2001,10,10
Naske Air,2001,3,3
MK Airlines,2001,13,1
Merpati Nusantara Airlines,2001,3,3
Manunggal Air,2001,19,1
MajestiAir Cargo,2001,2,2
Loganair,2001,2,2
Lineas Aereas Suramericanas,2001,6,3
Jetwingsco Inc. - Private Charter,2001,18,18
Jet Wings,2001,1,1
Heliandes,2001,16,16
Gum Air Charter,2001,10,10
Fuerza Aérea Argentina,2001,5,5
Flightline,2001,10,10
Faraz Qeshm Airlines,2001,30,30
ERA Aviation - Air Taxi,2001,5,3
ELK Aviation Co. (leased from Eminex),2001,17,2
Eagle Air,2001,8,8
E.A.S. Aeroservizi,2001,3,3
Crossair,2001,33,24
Charter - IRS Aero,2001,27,27
Canadian Air Transat,2001,304,0
Blackhawk Int. Airways  - Private charter,2001,9,9
Binter Mediterráneo,2001,47,4
BAL Bremerhaven Airline,2001,9,8
AtlantiAirlines,2001,13,9
Ameristar Jet Charter,2001,2,2
American Airlines,2001,416,416
Air taxi - Cuiaba Air Taxi,2001,6,6
Air Taxi - Continental Air Taxi,2001,6,3
Air Taxi,2001,6,6
Air Saint Maurice Inc.,2001,7,3
Air Carriers,2001,2,2
Air Cargo Express,2001,2,2
Air Caraibes,2001,19,19
Aeronautical Services - Air Taxi,2001,3,3
Aero Ferinco Charter,2001,19,19
Vostok Aviakompania,2002,16,16
Trigana Air Service,2002,6,6
Transasia Airways,2002,2,2
Total  Air Lines,2002,2,2
Tiramavia,2002,10,1
Telford Aviation,2002,1,1
TAME,2002,92,92
Tadair,2002,2,2
Svedijos Prekés,2002,3,3
Skyline Airways,2002,4,4
Sky Executive Air Services,2002,5,5
Shangri La Air,2002,18,18
SELVA Colombia,2002,8,3
Sabang Merauke Raya Air Charter,2002,10,10
Rico Taxi Aéreo,2002,31,23
Richmor Aviation,2002,2,2
Raytheon Aircraft,2002,3,3
Pulkovo Aviation Enterprise,2002,16,14
Procuraduría General de la República,2002,17,5
Private,2002,28,16
Priorty Air Charter,2002,1,1
Prestige Airlines (Cargo) Charter,2002,27,25
Planemasters,2002,1,1
Petroproducción,2002,26,26
Ocean Airlines,2002,16,1
Mid-AtlantiFreight,2002,1,1
Marco Zero Air Taxi,2002,5,5
Luxair,2002,22,20
Laoag International Airlines,2002,34,19
Keystone Air Services Ltd. - Air Taxi,2002,8,1
Island Airways Ltd.,2002,8,8
Iran Air Tours,2002,117,117
Ibertrans Aérea,2002,3,3
Garuda Indonesia Airlines,2002,62,1
